episode,reward,steps,avg_loss,epsilon,buffer_size
1,2.0,224,0.012302016862909373,0.995,224
2,3.0,245,0.011021367775998554,0.990025,469
3,1.0,194,0.012906431396895079,0.985074875,663
4,1.0,196,0.012896031519036968,0.9801495006250001,859
5,2.0,211,0.009172518945065156,0.9752487531218751,1070
6,1.0,177,0.009280359392228016,0.9703725093562657,1247
7,4.0,297,0.009426351533559862,0.9655206468094844,1544
8,2.0,204,0.010896393384980768,0.960693043575437,1748
9,0.0,136,0.012541224810240023,0.9558895783575597,1884
10,4.0,319,0.010748524782627377,0.9511101304657719,2203
11,0.0,129,0.011492461137574657,0.946354579813443,2332
12,0.0,145,0.011011102754654813,0.9416228069143757,2477
13,3.0,286,0.01398666997760098,0.9369146928798039,2763
14,0.0,134,0.010608158755001486,0.9322301194154049,2897
15,3.0,250,0.010680618611164391,0.9275689688183278,3147
16,2.0,211,0.009967964768500212,0.9229311239742362,3358
17,0.0,133,0.010361119745915434,0.918316468354365,3491
18,0.0,125,0.009811062234919518,0.9137248860125932,3616
19,2.0,230,0.009752271140662386,0.9091562615825302,3846
20,2.0,208,0.010704215735481389,0.9046104802746175,4054
21,0.0,141,0.008625862184096233,0.9000874278732445,4195
22,3.0,283,0.01093569411480694,0.8955869907338783,4478
23,1.0,170,0.010645881190087974,0.8911090557802088,4648
24,2.0,233,0.009190284617069324,0.8866535105013078,4881
25,1.0,178,0.008379990586506077,0.8822202429488013,5059
26,1.0,179,0.008940960116054884,0.8778091417340573,5238
27,1.0,198,0.01057016634458154,0.8734200960253871,5436
28,2.0,225,0.008725385699265948,0.8690529955452602,5661
29,2.0,232,0.008060562208341034,0.8647077305675338,5893
30,2.0,210,0.01044717874042579,0.8603841919146962,6103
31,0.0,145,0.009454199265897403,0.8560822709551227,6248
32,1.0,190,0.008022282243473455,0.851801859600347,6438
33,3.0,275,0.007136195387945256,0.8475428503023453,6713
34,5.0,360,0.008338279307564436,0.8433051360508336,7073
35,8.0,376,0.009868773059814826,0.8390886103705794,7449
36,1.0,180,0.007896261965571385,0.8348931673187264,7629
37,0.0,139,0.008723005993717196,0.8307187014821328,7768
38,1.0,179,0.017712363646939323,0.8265651079747222,7947
39,0.0,158,0.008298949677242214,0.8224322824348486,8105
40,2.0,210,0.013403776724867167,0.8183201210226743,8315
41,0.0,147,0.011124734883394638,0.8142285204175609,8462
42,0.0,141,0.011057274597317165,0.810157377815473,8603
43,2.0,207,0.012004961374883343,0.8061065909263957,8810
44,0.0,133,0.008431825578725665,0.8020760579717637,8943
45,2.0,224,0.009999772986053099,0.798065677681905,9167
46,4.0,299,0.009868868690896718,0.7940753492934954,9466
47,0.0,160,0.008052748805130249,0.7901049725470279,9626
48,2.0,216,0.007661919483291934,0.7861544476842928,9842
49,1.0,191,0.008961519413702044,0.7822236754458713,10033
50,3.0,269,0.010597016866410628,0.778312557068642,10302
51,0.0,140,0.01368234974704267,0.7744209942832988,10442
52,4.0,311,0.010925091476755373,0.7705488893118823,10753
53,5.0,339,0.007990010891147136,0.7666961448653229,11092
54,0.0,147,0.007067863089761057,0.7628626641409962,11239
55,2.0,219,0.009485314886357324,0.7590483508202912,11458
56,3.0,284,0.0076584975537167645,0.7552531090661897,11742
57,0.0,148,0.011033467957777493,0.7514768435208588,11890
58,0.0,139,0.007645622338733649,0.7477194593032545,12029
59,0.0,130,0.007941178526044286,0.7439808620067382,12159
60,9.0,430,0.008241333895894905,0.7402609576967045,12589
61,5.0,371,0.009459067506475922,0.736559652908221,12960
62,2.0,229,0.009010281302652518,0.7328768546436799,13189
63,5.0,343,0.008896490047246615,0.7292124703704616,13532
64,3.0,264,0.011497933200878448,0.7255664080186093,13796
65,2.0,201,0.009572663517581676,0.7219385759785162,13997
66,0.0,144,0.013101870724919232,0.7183288830986236,14141
67,0.0,152,0.009246215838797261,0.7147372386831305,14293
68,2.0,229,0.007300506733936425,0.7111635524897149,14522
69,2.0,230,0.009613769078746176,0.7076077347272662,14752
70,2.0,207,0.011075114092414474,0.7040696960536299,14959
71,0.0,134,0.010563726413075434,0.7005493475733617,15093
72,4.0,312,0.010779374502747557,0.697046600835495,15405
73,2.0,222,0.009733140049771005,0.6935613678313175,15627
74,8.0,378,0.01074565807524893,0.6900935609921609,16005
75,0.0,132,0.014771870579021528,0.6866430931872001,16137
76,0.0,144,0.009422268314513834,0.6832098777212641,16281
77,0.0,136,0.024529654438886023,0.6797938283326578,16417
78,4.0,319,0.014228716550655275,0.6763948591909945,16736
79,5.0,365,0.00856371384964417,0.6730128848950395,17101
80,0.0,139,0.006804536298384702,0.6696478204705644,17240
81,0.0,150,0.007772910238466769,0.6662995813682115,17390
82,0.0,138,0.010936966635779465,0.6629680834613705,17528
